min(yPred)=-0.016, max(yPred)=0.704
thresholdMin=-0.25, thresholdMax=1.10, thresholdStep=0.05
    threshold    precisionUtterance    precisionBaseline    recallUtterance    recallBaseline    scoreUtterance    scoreBaseline
    _________    __________________    _________________    _______________    ______________    ______________    _____________

      -0.25           0.31707               0.31707                   1              1              0.48148           0.48148   
       -0.2           0.31707               0.31707                   1              1              0.48148           0.48148   
      -0.15           0.31707               0.31707                   1              1              0.48148           0.48148   
       -0.1           0.31707               0.31707                   1              1              0.48148           0.48148   
      -0.05           0.31707               0.31707                   1              1              0.48148           0.48148   
          0               0.3               0.31707             0.92308              1              0.45283           0.48148   
       0.05           0.28205               0.31707             0.84615              1              0.42308           0.48148   
        0.1            0.2973               0.31707             0.84615              1                 0.44           0.48148   
       0.15           0.30556               0.31707             0.84615              1              0.44898           0.48148   
        0.2           0.32353               0.31707             0.84615              1              0.46809           0.48148   
       0.25           0.36667               0.31707             0.84615              1              0.51163           0.48148   
        0.3           0.41667               0.31707             0.76923              1              0.54054           0.48148   
       0.35            0.4375               0.31707             0.53846              1              0.48276           0.48148   
        0.4           0.57143               0.31707             0.30769              1                  0.4           0.48148   
       0.45           0.66667               0.31707             0.30769              1              0.42105           0.48148   
        0.5               0.8               0.31707             0.30769              1              0.44444           0.48148   
       0.55               0.8               0.31707             0.30769              1              0.44444           0.48148   
        0.6               0.8               0.31707             0.30769              1              0.44444           0.48148   
       0.65                 1               0.31707            0.076923              1              0.14286           0.48148   
        0.7                 1               0.31707            0.076923              1              0.14286           0.48148   
       0.75               NaN               0.31707                   0              1                    0           0.48148   
        0.8               NaN               0.31707                   0              1                    0           0.48148   
       0.85               NaN               0.31707                   0              1                    0           0.48148   
        0.9               NaN               0.31707                   0              1                    0           0.48148   
       0.95               NaN               0.31707                   0              1                    0           0.48148   
          1               NaN                   NaN                   0              0                    0                 0   
       1.05               NaN                   NaN                   0              0                    0                 0
